"dataset","n_items","n_persons","working_model","analysis_model","statistic","method","flagging_rate","null_rate","working_acceptable_fit"
"cdm_timss03",23,757,"2PL","1PL","ECI_Z4*","Bootstrap",0.0607661822985469,0.0499405548216645,TRUE
"cdm_timss03",23,757,"2PL","1PL","ECI_Z4*","Bootstrap by ability",0.059445178335535,0.0502972258916777,TRUE
"cdm_timss03",23,757,"2PL","2PL","lz*","Normal theory",0.0673712021136063,0.0533223249669749,TRUE
"cdm_timss03",23,757,"2PL","2PL","lz*","Bootstrap",0.0581241743725231,0.0500198150594452,TRUE
"cdm_timss03",23,757,"2PL","2PL","lz*","Bootstrap by ability",0.0660501981505945,0.0501387054161163,TRUE
"cdm_timss03",23,757,"2PL","2PL","U*","Normal theory",0.0422721268163805,0.0404623513870542,TRUE
"cdm_timss03",23,757,"2PL","2PL","U*","Bootstrap",0.0568031704095112,0.050112285336856,TRUE
"cdm_timss03",23,757,"2PL","2PL","U*","Bootstrap by ability",0.0634081902245707,0.0500198150594452,TRUE
"cdm_timss03",23,757,"2PL","2PL","W*","Normal theory",0.0528401585204756,0.0459841479524439,TRUE
"cdm_timss03",23,757,"2PL","2PL","W*","Bootstrap",0.059445178335535,0.0500528401585205,TRUE
"cdm_timss03",23,757,"2PL","2PL","W*","Bootstrap by ability",0.0607661822985469,0.0501783355350066,TRUE
"cdm_timss03",23,757,"2PL","2PL","ECI_Z2*","Normal theory",0.0330250990752972,0.034887714663144,TRUE
"cdm_timss03",23,757,"2PL","2PL","ECI_Z2*","Bootstrap",0.0568031704095112,0.0502113606340819,TRUE
"cdm_timss03",23,757,"2PL","2PL","ECI_Z2*","Bootstrap by ability",0.0568031704095112,0.0501056803170409,TRUE
"cdm_timss03",23,757,"2PL","2PL","ECI_Z4*","Normal theory",0.047556142668428,0.0434214002642008,TRUE
"cdm_timss03",23,757,"2PL","2PL","ECI_Z4*","Bootstrap",0.0554821664464993,0.0499537648612946,TRUE
"cdm_timss03",23,757,"2PL","2PL","ECI_Z4*","Bootstrap by ability",0.0620871862615588,0.0501453104359313,TRUE
"cdm_timss03",23,757,"2PL","3PL","lz*","Normal theory",0.0647291941875826,0.0530911492734478,TRUE
"cdm_timss03",23,757,"2PL","3PL","lz*","Bootstrap",0.059445178335535,0.0501387054161163,TRUE
"cdm_timss03",23,757,"2PL","3PL","lz*","Bootstrap by ability",0.0634081902245707,0.0500066050198151,TRUE
"cdm_timss03",23,757,"2PL","3PL","U*","Normal theory",0.0369881109643329,0.0407133421400264,TRUE
"cdm_timss03",23,757,"2PL","3PL","U*","Bootstrap",0.0488771466314399,0.0500132100396301,TRUE
"cdm_timss03",23,757,"2PL","3PL","U*","Bootstrap by ability",0.0422721268163805,0.05,TRUE
"cdm_timss03",23,757,"2PL","3PL","W*","Normal theory",0.0541611624834875,0.0439498018494055,TRUE
